model_name,params,runtype,720p,480p,720p (128x128),480p (128x128),720p (256x256),480p (256x256)
SR_EDSR_2x_0_32,48003,tensorrt,208.34,382.06,31.54,60.59,95.37,188.68
SR_EDSR_2x_16_64,1369859,tensorrt,23.96,55.07,15.49,31.79,19.43,43.55
SR_EDSR_2x_1_128,1040131,tensorrt,36.14,78.74,26.32,54.63,26.11,57.78
SR_EDSR_2x_1_256,4144643,tensorrt,11.98,27.16,9.37,19.16,8.89,19.87
SR_EDSR_2x_1_32,66499,tensorrt,178.10,334.98,28.01,50.53,91.87,181.13
SR_EDSR_2x_2_128,1335299,tensorrt,29.50,68.97,21.86,44.26,22.43,47.95
SR_EDSR_2x_2_256,5324803,tensorrt,9.56,21.88,7.46,15.40,7.22,15.60
SR_EDSR_2x_2_32,84995,tensorrt,151.15,324.42,26.10,44.14,85.57,165.59
SR_EDSR_2x_2_48,189699,tensorrt,100.29,209.78,28.11,51.85,74.94,161.39
SR_EDSR_2x_2_52,222355,tensorrt,62.84,154.22,26.62,49.18,57.56,123.22
SR_EDSR_2x_2_96,752643,tensorrt,41.08,95.11,29.39,55.14,30.24,68.27
SR_EDSR_2x_32_256_r,40729603,tensorrt,1.49,3.33,1.09,2.24,1.09,2.45
SR_EDSR_2x_4_256,7685123,tensorrt,7.10,16.04,5.33,11.06,5.25,11.68
SR_EDSR_2x_4_32,121987,tensorrt,141.72,293.33,24.20,45.97,74.89,152.35
SR_EDSR_2x_4_52,319907,tensorrt,53.74,126.67,24.59,45.99,43.63,98.93
SR_EDSR_2x_6_12,22899,tensorrt,213.12,437.44,21.11,42.37,72.23,149.70
SR_FastEDSR_2x_1_128,312588,tensorrt,118.07,247.45,31.47,58.40,78.74,170.46
SR_FastEDSR_2x_1_16,6828,tensorrt,343.30,660.16,30.18,55.47,95.94,188.68
SR_FastEDSR_2x_1_32,22860,tensorrt,309.41,436.28,30.71,57.39,93.66,186.71
SR_FastEDSR_2x_1_4,852,tensorrt,369.57,698.09,30.32,56.53,95.71,187.95
SR_FastEDSR_2x_1_64,82572,tensorrt,210.72,417.26,31.20,59.63,98.41,198.97
SR_FastEDSR_2x_1_8,2268,tensorrt,360.80,404.19,30.40,56.28,94.82,193.82
SR_FastEDSR_2x_2_128,607756,tensorrt,65.56,159.31,31.00,56.63,50.85,112.99
SR_FastEDSR_2x_2_16,11468,tensorrt,316.92,426.59,27.67,53.96,90.53,182.35
SR_FastEDSR_2x_2_32,41356,tensorrt,261.46,529.17,27.75,53.21,86.49,178.48
SR_FastEDSR_2x_2_4,1148,tensorrt,357.86,595.36,27.65,53.67,90.12,178.90
SR_FastEDSR_2x_2_64,156428,tensorrt,154.36,323.55,29.55,54.52,95.29,143.44
SR_FastEDSR_2x_2_8,3436,tensorrt,356.80,405.28,28.91,53.89,93.14,189.84
SR_FastEDSR_2x_4_128,1198092,tensorrt,37.70,91.85,26.71,52.89,29.46,65.32
SR_FastEDSR_2x_4_16,20748,tensorrt,277.99,567.84,24.79,46.96,82.36,156.47
SR_FastEDSR_2x_4_32,78348,tensorrt,190.69,422.13,24.20,44.64,77.77,160.44
SR_FastEDSR_2x_4_64,304140,tensorrt,98.67,206.25,25.73,50.64,62.36,149.72
SR_FastEDSR_2x_4_8,5772,tensorrt,320.89,610.59,25.88,49.08,84.24,171.01
SR_FastEDSR_2x_8_16,39308,tensorrt,160.39,450.68,21.70,42.65,71.69,147.06
SR_IMDN_2x_1_128,596916,tensorrt,39.10,89.01,23.04,45.05,36.10,80.18
SR_IMDN_2x_1_256,2350940,tensorrt,16.20,34.82,12.52,25.59,12.97,28.65
SR_IMDN_2x_1_48,88251,tensorrt,102.83,223.68,21.72,40.79,69.87,144.85
SR_IMDN_2x_1_64,153824,tensorrt,91.27,197.25,21.66,42.22,68.88,146.60
SR_IMDN_2x_1_96,339210,tensorrt,50.70,115.71,23.54,45.70,43.14,95.32
SR_IMDN_2x_2_128,1028700,tensorrt,24.13,52.65,17.56,36.50,21.79,48.31
SR_IMDN_2x_2_48,149130,tensorrt,56.87,134.78,16.67,31.92,53.28,113.21
SR_IMDN_2x_2_96,582216,tensorrt,29.19,62.29,18.69,35.82,25.67,55.63
SR_IMDN_2x_4_16,31808,tensorrt,112.45,266.20,10.68,21.35,36.81,76.12
SR_IMDN_2x_4_256,7528268,tensorrt,4.95,10.58,4.25,8.74,4.00,8.90
SR_IMDN_2x_4_52,317120,tensorrt,27.80,63.86,10.49,20.46,23.46,54.91
SR_IMDN_2x_5_16,38629,tensorrt,93.67,233.25,9.42,18.50,31.29,69.50
SR_IMDN_2x_6_64,694404,tensorrt,20.61,46.48,8.32,16.83,19.95,46.04
SR_RFDN_2x_1_128,802124,tensorrt,36.13,77.78,20.60,39.78,30.13,68.62
SR_RFDN_2x_1_256,3170956,tensorrt,13.84,30.66,9.52,20.94,10.83,23.98
SR_RFDN_2x_1_4,1363,tensorrt,242.23,502.20,16.96,33.01,58.42,119.89
