model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
nearest,0,0.1558,0.8727,29.2510,0.0207,10515.73,114,9729.98,70
bilinear,0,0.2290,0.8687,29.9433,0.0201,2077.70,162,5875.28,116
bicubic,0,0.1863,0.8931,31.0447,0.0180,1416.74,162,4067.40,116
lanczos,0,0.2057,0.9009,31.5097,0.0173,,,,
SR_RFDN_2x_1_48,117204,0.1113,0.9234,33.0690,0.0148,99.19,316,218.04,86
SR_RFDN_2x_2_48,207036,0.1069,0.9254,33.2877,0.0145,52.96,132,116.10,86
SR_RFDN_2x_2_52,242306,0.1077,0.9260,33.3517,0.0144,38.93,132,91.04,86
SR_RFDN_2x_4_48,386700,0.1032,0.9275,33.5068,0.0142,27.45,136,63.93,90
SR_RFDN_2x_4_52,453088,0.1014,0.9290,33.6634,0.0139,20.13,138,47.31,90
SR_RFDN_2x_4_16,44812,0.1375,0.9108,31.9371,0.0167,108.00,100,320.94,84
SR_RFDN_2x_6_64,1002828,0.1004,0.9313,33.9150,0.0135,19.41,140,44.11,94
SR_IMDN_2x_1_48,88251,0.1314,0.9190,32.6366,0.0156,136.68,144,265.46,98
SR_IMDN_2x_2_48,149130,0.1166,0.9226,32.9958,0.0150,73.41,140,164.63,90
SR_IMDN_2x_4_16,31808,0.1386,0.9115,31.9798,0.0167,149.64,136,378.17,88
SR_IMDN_2x_5_16,38629,0.1408,0.9120,32.0311,0.0165,117.21,134,299.42,86
SR_IMDN_2x_4_52,317120,0.1080,0.9259,33.3350,0.0144,30.87,134,71.54,88
SR_IMDN_2x_6_64,694404,0.1018,0.9289,33.6475,0.0139,22.48,138,51.35,92
SR_CustomERN_2x_b2_w0.5,69388,0.1384,0.9153,32.3412,0.0161,292.91,174,669.13,128
SR_CustomERN_2x_b2_w0.75,150156,0.1207,0.9206,32.8159,0.0152,152.26,162,313.31,96
SR_CustomERN_2x_b1_w1,142796,0.1184,0.9211,32.8256,0.0153,193.04,142,431.75,96
SR_CustomERN_2x_b2_w1,261644,0.1102,0.9247,33.2146,0.0146,123.04,136,275.90,90
SR_CustomERN_2x_b3_w1,380492,0.1045,0.9261,33.3543,0.0144,89.36,136,202.40,88
SR_CustomERN_2x_b4_w1,499340,0.1051,0.9269,33.4454,0.0143,70.18,138,159.50,92
SR_CustomERN_2x_b2_w2,1014796,0.1015,0.9291,33.6658,0.0139,38.13,116,86.33,90
SR_CustomERN_2x_b3_w2,1490060,0.0999,0.9299,33.7638,0.0138,27.45,140,62.00,96
SR_CustomERN_2x_b2_w3,2259468,0.0991,0.9306,33.8258,0.0137,18.02,160,46.45,114
SR_EDSR_2x_6_12,22899,0.1457,0.9128,32.1023,0.0165,417.76,100,967.21,84
SR_EDSR_2x_2_48,189699,0.1135,0.9244,33.1837,0.0147,126.18,132,278.48,86
SR_EDSR_2x_2_52,222355,0.1116,0.9248,33.1799,0.0148,84.99,134,193.20,88
SR_EDSR_2x_4_52,319907,0.1064,0.9274,33.5029,0.0142,65.52,134,144.50,88
SR_EDSR_2x_16_64,1369859,0.0981,0.9326,34.0538,0.0133,27.62,146,61.73,100
